component_id,component_name,profile_section,required_evidence_record_roles,acceptable_evidence_types,resolved_state,evaluation_precedence,deterministic_predicate,required_provenance_predicate,missingness_handling,dependency_preservation,state_rationale_requirement
COMP_SAFETY,Safety,Therapeutic Development Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,PARTIAL,4,"A liability summary or candidate record exists but on/off-target attribution, context, human relevance, source lineage, or required provenance is incomplete.",Open Targets release/API|target/liability/datasource IDs|study/publication|context|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Liability records can share datasource, study, publication, event, compound, or mechanism.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_SAFETY,Safety,Therapeutic Development Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,NOT_QUERIED,5,No valid target mapping or safety-liability acquisition was performed and no safety assessment exists.,Open Targets release/API|target/liability/datasource IDs|study/publication|context|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Liability records can share datasource, study, publication, event, compound, or mechanism.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_DEVELOPMENT,Clinical development evidence,Therapeutic Development Profile,FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_CLINICAL_TRIAL_DEVELOPMENT,CONFLICTING,1,"Traceable trial/linkage records materially disagree on intervention-target identity, LUAD relevance, phase/status, or record identity after version reconciliation.",Registry/version|trial/intervention/target/disease IDs|linkage basis|phase/status|retrieval time|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Trial records may overlap Open Targets candidate counts and tractability clinical-precedence assessments.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_DEVELOPMENT,Clinical development evidence,Therapeutic Development Profile,FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_CLINICAL_TRIAL_DEVELOPMENT,OBSERVED,2,"At least one trial-level record has validated intervention-target-disease linkage plus registry/version, trial, phase/status provenance and no material linkage conflict.",Registry/version|trial/intervention/target/disease IDs|linkage basis|phase/status|retrieval time|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Trial records may overlap Open Targets candidate counts and tractability clinical-precedence assessments.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_DEVELOPMENT,Clinical development evidence,Therapeutic Development Profile,FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_CLINICAL_TRIAL_DEVELOPMENT,MISSING,3,"All frozen trial sources and target/disease linkage queries completed successfully and found no qualifying trial-level record, without UNKNOWN/failure.",Registry/version|trial/intervention/target/disease IDs|linkage basis|phase/status|retrieval time|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Trial records may overlap Open Targets candidate counts and tractability clinical-precedence assessments.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_DEVELOPMENT,Clinical development evidence,Therapeutic Development Profile,FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_CLINICAL_TRIAL_DEVELOPMENT,PARTIAL,4,"A trial, intervention, candidate, or target record exists but intervention-target-LUAD linkage, phase/status currency, registry version, or provenance is incomplete.",Registry/version|trial/intervention/target/disease IDs|linkage basis|phase/status|retrieval time|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Trial records may overlap Open Targets candidate counts and tractability clinical-precedence assessments.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_DEVELOPMENT,Clinical development evidence,Therapeutic Development Profile,FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_CLINICAL_TRIAL_DEVELOPMENT,NOT_QUERIED,5,No dedicated trial-level clinical-development acquisition covered the target; this is the current Task #020 architecture state.,Registry/version|trial/intervention/target/disease IDs|linkage basis|phase/status|retrieval time|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Trial records may overlap Open Targets candidate counts and tractability clinical-precedence assessments.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_HUMAN_EVIDENCE,Human evidence,Translational Profile,FUTURE_GENETIC_CANCER_RECORD|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_GENETIC_CANCER|EV_CLINICAL_TRIAL_DEVELOPMENT,CONFLICTING,1,"Comparable human-derived records provide materially incompatible target-disease, alteration-effect, or intervention-linkage evidence after lineage and context reconciliation.",Human cohort or trial identity|target/variant/intervention IDs|disease context|source version|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Genetic cohorts and trials may overlap source aggregators; records reused in other components retain the same identity.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_HUMAN_EVIDENCE,Human evidence,Translational Profile,FUTURE_GENETIC_CANCER_RECORD|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_GENETIC_CANCER|EV_CLINICAL_TRIAL_DEVELOPMENT,OBSERVED,2,At least one provenance-complete record is explicitly human-derived by cohort/trial metadata and meets its genetic or interventional component criterion without material conflict.,Human cohort or trial identity|target/variant/intervention IDs|disease context|source version|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Genetic cohorts and trials may overlap source aggregators; records reused in other components retain the same identity.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_HUMAN_EVIDENCE,Human evidence,Translational Profile,FUTURE_GENETIC_CANCER_RECORD|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_GENETIC_CANCER|EV_CLINICAL_TRIAL_DEVELOPMENT,MISSING,3,"All frozen human genetic and interventional sources were queried successfully for the target/LUAD scope and found no qualifying human-derived record, without UNKNOWN/failure.",Human cohort or trial identity|target/variant/intervention IDs|disease context|source version|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Genetic cohorts and trials may overlap source aggregators; records reused in other components retain the same identity.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_HUMAN_EVIDENCE,Human evidence,Translational Profile,FUTURE_GENETIC_CANCER_RECORD|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_GENETIC_CANCER|EV_CLINICAL_TRIAL_DEVELOPMENT,PARTIAL,4,"Candidate genetic/interventional evidence exists but human origin, disease relevance, target linkage, source version, or provenance is incomplete.",Human cohort or trial identity|target/variant/intervention IDs|disease context|source version|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Genetic cohorts and trials may overlap source aggregators; records reused in other components retain the same identity.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_HUMAN_EVIDENCE,Human evidence,Translational Profile,FUTURE_GENETIC_CANCER_RECORD|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD,EV_GENETIC_CANCER|EV_CLINICAL_TRIAL_DEVELOPMENT,NOT_QUERIED,5,Neither human genetic nor trial-level evidence acquisition covered the target.,Human cohort or trial identity|target/variant/intervention IDs|disease context|source version|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Genetic cohorts and trials may overlap source aggregators; records reused in other components retain the same identity.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_LINKAGE,Clinical linkage,Translational Profile,OT_LUAD_ASSOCIATION|FUTURE_CHEMBL_COMPOUND_TARGET|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD|FUTURE_INTERVENTION_TARGET_DISEASE_LINKAGE,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_CHEMBL_COMPOUND_TARGET|EV_CLINICAL_TRIAL_DEVELOPMENT,CONFLICTING,1,"Traceable records materially disagree on intervention identity, target assignment, LUAD disease linkage, or trial linkage after identifier/version reconciliation.",Target/disease/compound/intervention/trial IDs|linkage method|source versions|record lineage|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Reusing association, compound, or trial records from other components does not create new evidence or independent support.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_LINKAGE,Clinical linkage,Translational Profile,OT_LUAD_ASSOCIATION|FUTURE_CHEMBL_COMPOUND_TARGET|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD|FUTURE_INTERVENTION_TARGET_DISEASE_LINKAGE,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_CHEMBL_COMPOUND_TARGET|EV_CLINICAL_TRIAL_DEVELOPMENT,OBSERVED,2,"One validated record chain explicitly links intervention, target, LUAD disease identifier, and trial/development record with complete source lineage and no material conflict.",Target/disease/compound/intervention/trial IDs|linkage method|source versions|record lineage|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Reusing association, compound, or trial records from other components does not create new evidence or independent support.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_LINKAGE,Clinical linkage,Translational Profile,OT_LUAD_ASSOCIATION|FUTURE_CHEMBL_COMPOUND_TARGET|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD|FUTURE_INTERVENTION_TARGET_DISEASE_LINKAGE,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_CHEMBL_COMPOUND_TARGET|EV_CLINICAL_TRIAL_DEVELOPMENT,MISSING,3,"All frozen linkage sources/queries completed successfully and no qualifying intervention-target-LUAD-development linkage was found, without UNKNOWN/failure.",Target/disease/compound/intervention/trial IDs|linkage method|source versions|record lineage|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Reusing association, compound, or trial records from other components does not create new evidence or independent support.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_LINKAGE,Clinical linkage,Translational Profile,OT_LUAD_ASSOCIATION|FUTURE_CHEMBL_COMPOUND_TARGET|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD|FUTURE_INTERVENTION_TARGET_DISEASE_LINKAGE,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_CHEMBL_COMPOUND_TARGET|EV_CLINICAL_TRIAL_DEVELOPMENT,PARTIAL,4,"Separate association, compound, intervention, candidate, or trial records exist but the full intervention-target-LUAD-development linkage is incomplete or based only on co-occurrence/counts.",Target/disease/compound/intervention/trial IDs|linkage method|source versions|record lineage|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Reusing association, compound, or trial records from other components does not create new evidence or independent support.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_CLINICAL_LINKAGE,Clinical linkage,Translational Profile,OT_LUAD_ASSOCIATION|FUTURE_CHEMBL_COMPOUND_TARGET|FUTURE_CLINICAL_TRIAL_DEVELOPMENT_RECORD|FUTURE_INTERVENTION_TARGET_DISEASE_LINKAGE,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_CHEMBL_COMPOUND_TARGET|EV_CLINICAL_TRIAL_DEVELOPMENT,NOT_QUERIED,5,No trial-level linkage acquisition was performed for the target/LUAD scope.,Target/disease/compound/intervention/trial IDs|linkage method|source versions|record lineage|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Reusing association, compound, or trial records from other components does not create new evidence or independent support.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_RISK_CONTEXT,Risk context,Translational Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,CONFLICTING,1,Traceable risk/liability records materially disagree on attribution or outcome context; reused safety records across profile sections remain the same record lineage.,Liability records|on/off-target attribution|human relevance|exposure context|source versions|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,The same safety records can appear in therapeutic and translational views but remain one evidence lineage.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_RISK_CONTEXT,Risk context,Translational Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,OBSERVED,2,"The current ontology-bounded safety-liability evidence meets the COMP_SAFETY observed predicate; maturity_description still records absent normal-tissue, essentiality, exposure, and toxicology domains.",Liability records|on/off-target attribution|human relevance|exposure context|source versions|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,The same safety records can appear in therapeutic and translational views but remain one evidence lineage.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_RISK_CONTEXT,Risk context,Translational Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,MISSING,3,"Every frozen current safety-liability source was queried successfully and returned no qualifying record, without UNKNOWN/failure; this is missing risk evidence, not low risk.",Liability records|on/off-target attribution|human relevance|exposure context|source versions|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,The same safety records can appear in therapeutic and translational views but remain one evidence lineage.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_RISK_CONTEXT,Risk context,Translational Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,PARTIAL,4,"A risk/liability record exists but provenance, attribution, human relevance, exposure context, or interpretation is incomplete; broader unmodeled risk gaps are recorded in maturity_description.",Liability records|on/off-target attribution|human relevance|exposure context|source versions|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,The same safety records can appear in therapeutic and translational views but remain one evidence lineage.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_RISK_CONTEXT,Risk context,Translational Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,NOT_QUERIED,5,No current safety-liability acquisition covered the target.,Liability records|on/off-target attribution|human relevance|exposure context|source versions|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,The same safety records can appear in therapeutic and translational views but remain one evidence lineage.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
